Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22077320,173,129,44,0.677,0.091,0.695,0.008,0.506,0.837
B.1.617.22,0,0,,,,,,
AY.127,8,6,2,0.428,0.014,0.428,0.0,0.414,0.442
BA.1,44,32,12,0.616,0.136,0.674,0.018,0.345,0.837
BA.2.36,49,32,17,0.334,0.116,0.294,0.013,0.203,0.612
AY.124,8,6,2,0.428,0.014,0.428,0.0,0.414,0.442
BA.1.1.1,45,32,13,0.628,0.137,0.679,0.019,0.345,0.837
B.12,0,0,,,,,,
C.395,0,0,,,,,,
BA.3,41,32,9,0.384,0.182,0.316,0.033,0.203,0.837
AY.43,7,6,1,0.414,0.0,0.414,0.0,0.414,0.414
BA.4,45,29,16,0.338,0.118,0.301,0.014,0.203,0.612
AY.122,7,6,1,0.414,0.0,0.414,0.0,0.414,0.414
B.1.1.77,0,0,,,,,,
BA.1.1,45,32,13,0.628,0.137,0.679,0.019,0.345,0.837
BA.5.1,44,31,13,0.361,0.119,0.316,0.014,0.203,0.612
B.1.15,0,0,,,,,,
B.1.1772,0,0,,,,,,
BA.2,49,32,17,0.334,0.116,0.294,0.013,0.203,0.612
BA.1.17,45,33,12,0.616,0.136,0.674,0.018,0.345,0.837
Non_variant,109,95,14,0.677,0.102,0.682,0.01,0.52,0.816
