Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
20113176-BIS,12,0.706,0.054,0.705,0.003,0.592,0.794,1.1993296971891978e-14
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21007127,44,0.683,0.11,0.686,0.012,0.509,0.872,2.0953152344819007e-26
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21024292,37,0.594,0.055,0.58,0.003,0.51,0.705,6.2059218378642e-23
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21042364,37,0.76,0.058,0.772,0.003,0.505,0.833,1.3589935798157199e-49
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21065493,55,0.705,0.108,0.689,0.012,0.505,0.897,1.469635036516787e-37
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21103680-BIS,58,0.737,0.11,0.772,0.012,0.518,0.848,1.1861773289446958e-44
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21111767-TRIS,47,0.676,0.107,0.672,0.011,0.503,0.843,4.997664883343105e-28
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21148570,52,0.74,0.088,0.765,0.008,0.506,0.847,2.754032824204117e-49
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21173223,41,0.703,0.101,0.725,0.01,0.52,0.858,6.970370162003977e-30
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21173982,42,0.729,0.101,0.754,0.01,0.505,0.848,3.820646241719787e-34
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21232047,60,0.729,0.101,0.736,0.01,0.5,0.849,1.96358149711809e-48
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21232156,50,0.714,0.116,0.742,0.013,0.5,0.885,2.311738047653984e-33
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21234044,54,0.683,0.101,0.685,0.01,0.5,0.848,3.38186495788975e-35
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21240639,40,0.729,0.097,0.746,0.009,0.515,0.893,1.3501179069471385e-33
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21246472,52,0.748,0.087,0.766,0.008,0.515,0.868,9.68539267061573e-51
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21253926,49,0.729,0.108,0.75,0.012,0.504,0.894,2.298688847028148e-37
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21274772,33,0.68,0.063,0.692,0.004,0.506,0.808,1.9178024340629984e-32
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21279108,79,0.673,0.103,0.672,0.011,0.502,0.843,4.181974461168879e-47
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21281572,60,0.604,0.075,0.59,0.006,0.502,0.796,7.10820801250126e-29
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21288015,74,0.669,0.122,0.638,0.015,0.5,0.845,6.37316702203777e-36
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21288203,34,0.747,0.082,0.77,0.007,0.543,0.844,9.696869098813437e-35
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21292118,57,0.696,0.118,0.7,0.014,0.507,0.889,4.518557741797998e-34
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21293205,84,0.697,0.113,0.724,0.013,0.5,0.886,2.247126598675423e-52
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21296445,43,0.709,0.101,0.704,0.01,0.511,0.881,4.066507386964324e-32
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21296678,50,0.781,0.072,0.796,0.005,0.591,0.899,4.622260865457371e-61
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21296708,61,0.708,0.109,0.722,0.012,0.501,0.893,1.2489918972754811e-41
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21307395,37,0.552,0.06,0.535,0.004,0.501,0.823,2.3014534656055953e-10
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21307924,71,0.697,0.112,0.723,0.013,0.504,0.848,9.487687440420945e-45
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21308079,58,0.718,0.107,0.72,0.011,0.507,0.892,2.055840015214946e-42
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21312626,47,0.666,0.112,0.655,0.013,0.509,0.875,6.4625986171008785e-25
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21314860,35,0.727,0.085,0.723,0.007,0.562,0.886,9.593611521980942e-33
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21322322,59,0.595,0.081,0.576,0.007,0.507,0.81,1.643540263304584e-23
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21322985,64,0.689,0.095,0.679,0.009,0.503,0.882,1.1511650065207795e-45
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21331783,46,0.724,0.096,0.746,0.009,0.5,0.877,3.8206645823877785e-38
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21333854,41,0.599,0.083,0.583,0.007,0.5,0.821,4.067431168989059e-17
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21334202,66,0.679,0.099,0.675,0.01,0.507,0.849,8.126984652300422e-43
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21340000,43,0.69,0.1,0.702,0.01,0.508,0.847,1.2304438728791728e-29
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21341402,33,0.571,0.095,0.532,0.009,0.502,0.875,1.1238960961124439e-07
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21348964,40,0.717,0.099,0.728,0.01,0.505,0.897,2.2586107164563374e-31
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21348973,42,0.632,0.086,0.638,0.007,0.5,0.843,2.719269242717153e-23
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21351063,47,0.669,0.109,0.664,0.012,0.5,0.834,3.2250978697833895e-26
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21354251,35,0.661,0.094,0.647,0.009,0.5,0.868,8.197773545655968e-22
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21354701,45,0.716,0.097,0.717,0.009,0.504,0.862,5.671647856678565e-36
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21356272,38,0.738,0.084,0.748,0.007,0.527,0.886,6.2103996177699205e-37
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21410922,37,0.678,0.088,0.683,0.008,0.512,0.894,3.440268615019719e-27
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21461036,53,0.693,0.099,0.687,0.01,0.521,0.849,3.040513488115406e-37
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21517485,85,0.715,0.071,0.723,0.005,0.526,0.865,4.760584387807179e-86
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22077284,45,0.541,0.035,0.531,0.001,0.503,0.707,2.266823239578291e-18
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22077320,44,0.677,0.091,0.695,0.008,0.506,0.837,8.827741857067483e-31
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22246186,27,0.591,0.071,0.587,0.005,0.506,0.82,1.4122704907772014e-12
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
40428416,66,0.556,0.058,0.546,0.003,0.5,0.841,1.6595788092697758e-20
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
40433710,69,0.592,0.071,0.584,0.005,0.501,0.824,7.5132619166825e-31
Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
43464908,56,0.697,0.098,0.699,0.01,0.503,0.842,3.3838113974462495e-40
