Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21531147,197,158,39,0.579,0.046,0.573,0.002,0.503,0.671
BA.3,8,7,1,0.405,0.0,0.405,0.0,0.405,0.405
AY.43,4,0,0,,,,,,
B.1.1.7,7,6,1,0.405,0.0,0.405,0.0,0.405,0.405
BA.4,5,4,1,0.405,0.0,0.405,0.0,0.405,0.405
AY.127,5,0,0,,,,,,
BA.2,7,6,1,0.405,0.0,0.405,0.0,0.405,0.405
BA.5.1,8,7,1,0.405,0.0,0.405,0.0,0.405,0.405
C.39,5,0,0,,,,,,
BA.1,8,7,1,0.405,0.0,0.405,0.0,0.405,0.405
B.1.617.2,4,0,0,,,,,,
AY.124,5,0,0,,,,,,
BA.2.36,7,6,1,0.405,0.0,0.405,0.0,0.405,0.405
BA.1.1.1,8,7,1,0.405,0.0,0.405,0.0,0.405,0.405
B.1.177,2,0,0,,,,,,
BA.1.17,8,7,1,0.405,0.0,0.405,0.0,0.405,0.405
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,8,7,1,0.405,0.0,0.405,0.0,0.405,0.405
AY.122,4,0,0,,,,,,
Non_variant,186,148,38,0.579,0.046,0.569,0.002,0.503,0.671
