Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21511457,195,174,21,0.669,0.062,0.661,0.004,0.533,0.797
B.1.617.2,4,0,0,,,,,,
AY.127,5,0,0,,,,,,
BA.1,7,0,0,,,,,,
BA.2.36,6,0,0,,,,,,
AY.124,5,0,0,,,,,,
BA.1.1.1,7,0,0,,,,,,
B.1,2,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.3,7,0,0,,,,,,
AY.43,4,0,0,,,,,,
BA.4,4,0,0,,,,,,
AY.122,4,0,0,,,,,,
B.1.1.7,7,0,0,,,,,,
BA.1.1,7,0,0,,,,,,
BA.5.1,7,0,0,,,,,,
B.1.1,5,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.2,6,0,0,,,,,,
BA.1.17,7,0,0,,,,,,
Non_variant,185,164,21,0.669,0.062,0.661,0.004,0.533,0.797
