Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21511457,195,140,55,0.78,0.097,0.818,0.009,0.533,0.899
BA.3,7,6,1,0.181,0.0,0.181,0.0,0.181,0.181
AY.43,4,3,1,0.13,0.0,0.13,0.0,0.13,0.13
B.1.1.7,7,6,1,0.181,0.0,0.181,0.0,0.181,0.181
BA.4,4,3,1,0.181,0.0,0.181,0.0,0.181,0.181
AY.127,5,4,1,0.13,0.0,0.13,0.0,0.13,0.13
BA.2,6,5,1,0.181,0.0,0.181,0.0,0.181,0.181
BA.5.1,7,6,1,0.181,0.0,0.181,0.0,0.181,0.181
C.39,5,0,0,,,,,,
BA.1,7,6,1,0.181,0.0,0.181,0.0,0.181,0.181
B.1.617.2,4,3,1,0.13,0.0,0.13,0.0,0.13,0.13
AY.124,5,4,1,0.13,0.0,0.13,0.0,0.13,0.13
BA.2.36,6,5,1,0.181,0.0,0.181,0.0,0.181,0.181
BA.1.1.1,7,6,1,0.181,0.0,0.181,0.0,0.181,0.181
B.1.177,2,0,0,,,,,,
BA.1.17,7,6,1,0.181,0.0,0.181,0.0,0.181,0.181
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,7,6,1,0.181,0.0,0.181,0.0,0.181,0.181
AY.122,4,3,1,0.13,0.0,0.13,0.0,0.13,0.13
Non_variant,185,132,53,0.777,0.098,0.814,0.01,0.533,0.899
