Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21274772,226,193,33,0.68,0.063,0.692,0.004,0.506,0.808
BA.3,6,5,1,0.274,0.0,0.274,0.0,0.274,0.274
AY.43,25,16,9,0.314,0.076,0.308,0.006,0.192,0.459
B.1.1.7,6,0,0,,,,,,
BA.4,8,7,1,0.274,0.0,0.274,0.0,0.274,0.274
AY.127,25,16,9,0.314,0.076,0.308,0.006,0.192,0.459
BA.2,8,7,1,0.274,0.0,0.274,0.0,0.274,0.274
BA.5.1,9,8,1,0.274,0.0,0.274,0.0,0.274,0.274
C.39,3,0,0,,,,,,
BA.1,6,5,1,0.274,0.0,0.274,0.0,0.274,0.274
B.1.617.2,14,0,0,,,,,,
AY.124,26,16,10,0.354,0.14,0.332,0.02,0.192,0.716
BA.2.36,8,7,1,0.274,0.0,0.274,0.0,0.274,0.274
BA.1.1.1,6,5,1,0.274,0.0,0.274,0.0,0.274,0.274
B.1.177,2,0,0,,,,,,
BA.1.17,6,5,1,0.274,0.0,0.274,0.0,0.274,0.274
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,6,5,1,0.274,0.0,0.274,0.0,0.274,0.274
AY.122,25,16,9,0.314,0.076,0.308,0.006,0.192,0.459
Non_variant,197,174,23,0.676,0.058,0.691,0.003,0.506,0.763
