Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22061262,200,180,20,0.744,0.086,0.786,0.007,0.511,0.846
BA.3,40,37,3,0.328,0.191,0.205,0.036,0.182,0.598
AY.43,8,0,0,,,,,,
B.1.1.7,7,0,0,,,,,,
BA.4,48,45,3,0.487,0.239,0.598,0.057,0.154,0.708
AY.127,9,8,1,0.205,0.0,0.205,0.0,0.205,0.205
BA.2,49,47,2,0.653,0.055,0.653,0.003,0.598,0.708
BA.5.1,48,46,2,0.653,0.055,0.653,0.003,0.598,0.708
C.39,5,0,0,,,,,,
BA.1,39,36,3,0.245,0.073,0.205,0.005,0.182,0.348
B.1.617.2,7,0,0,,,,,,
AY.124,9,8,1,0.205,0.0,0.205,0.0,0.205,0.205
BA.2.36,49,47,2,0.653,0.055,0.653,0.003,0.598,0.708
BA.1.1.1,39,36,3,0.245,0.073,0.205,0.005,0.182,0.348
B.1.177,2,0,0,,,,,,
BA.1.17,40,37,3,0.245,0.073,0.205,0.005,0.182,0.348
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,39,36,3,0.245,0.073,0.205,0.005,0.182,0.348
AY.122,8,0,0,,,,,,
Non_variant,137,123,14,0.747,0.083,0.786,0.007,0.511,0.838
