Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22236812,163,54,109,0.706,0.109,0.73,0.012,0.501,0.895
BA.3,40,7,33,0.51,0.225,0.546,0.051,0.126,0.861
AY.43,28,4,24,0.396,0.166,0.362,0.028,0.143,0.685
B.1.1.7,7,2,5,0.416,0.182,0.378,0.033,0.189,0.632
BA.4,41,8,33,0.527,0.212,0.546,0.045,0.189,0.861
AY.127,27,4,23,0.4,0.171,0.368,0.029,0.126,0.685
BA.2,42,7,35,0.513,0.211,0.528,0.045,0.189,0.861
BA.5.1,45,9,36,0.515,0.213,0.537,0.045,0.173,0.861
C.39,5,2,3,0.544,0.117,0.622,0.014,0.378,0.632
BA.1,38,6,32,0.473,0.228,0.522,0.052,0.12,0.861
B.1.617.2,15,3,12,0.483,0.156,0.469,0.024,0.189,0.685
AY.124,27,4,23,0.4,0.171,0.368,0.029,0.126,0.685
BA.2.36,42,7,35,0.513,0.211,0.528,0.045,0.189,0.861
BA.1.1.1,39,6,33,0.479,0.227,0.528,0.051,0.12,0.861
B.1.177,2,0,0,,,,,,
BA.1.17,39,6,33,0.467,0.228,0.517,0.052,0.12,0.861
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.544,0.117,0.622,0.014,0.378,0.632
BA.1.1,39,6,33,0.479,0.227,0.528,0.051,0.12,0.861
AY.122,26,4,22,0.412,0.165,0.373,0.027,0.143,0.685
Non_variant,88,44,44,0.725,0.116,0.744,0.013,0.501,0.895
