Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21103680-BIS,273,215,58,0.737,0.11,0.772,0.012,0.518,0.848
BA.3,7,0,0,,,,,,
AY.43,3,0,0,,,,,,
B.1.1.7,5,0,0,,,,,,
BA.4,5,0,0,,,,,,
AY.127,3,0,0,,,,,,
BA.2,7,0,0,,,,,,
BA.5.1,7,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,6,0,0,,,,,,
B.1.617.2,2,0,0,,,,,,
AY.124,3,0,0,,,,,,
BA.2.36,7,0,0,,,,,,
BA.1.1.1,6,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,6,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,6,0,0,,,,,,
AY.122,3,0,0,,,,,,
Non_variant,266,208,58,0.737,0.11,0.772,0.012,0.518,0.848
