Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21103680-BIS,58,0.737,0.11,0.772,0.012,0.518,0.848,1.1861773289446958e-44
B.1.617.2,0,nan,nan,,,,,
AY.127,0,nan,nan,,,,,
BA.1,0,nan,nan,,,,,
BA.2.36,0,nan,nan,,,,,
AY.124,0,nan,nan,,,,,
BA.1.1.1,0,nan,nan,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,0,nan,nan,,,,,
AY.43,0,nan,nan,,,,,
BA.4,0,nan,nan,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,0,nan,nan,,,,,
BA.5.1,0,nan,nan,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,0,nan,nan,,,,,
BA.1.17,0,nan,nan,,,,,
No_variant,58,0.737,0.11,,,,,
