Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21111767-TRIS,461,414,47,0.676,0.107,0.672,0.011,0.503,0.843
BA.3,9,7,2,0.558,0.114,0.558,0.013,0.444,0.672
AY.43,5,4,1,0.444,0.0,0.444,0.0,0.444,0.444
B.1.1.7,15,6,9,0.436,0.154,0.503,0.024,0.159,0.672
BA.4,8,6,2,0.558,0.114,0.558,0.013,0.444,0.672
AY.127,6,5,1,0.444,0.0,0.444,0.0,0.444,0.444
BA.2,8,6,2,0.558,0.114,0.558,0.013,0.444,0.672
BA.5.1,8,6,2,0.558,0.114,0.558,0.013,0.444,0.672
C.39,2,0,0,,,,,,
BA.1,9,7,2,0.558,0.114,0.558,0.013,0.444,0.672
B.1.617.2,2,0,0,,,,,,
AY.124,7,5,2,0.358,0.086,0.358,0.007,0.272,0.444
BA.2.36,8,6,2,0.558,0.114,0.558,0.013,0.444,0.672
BA.1.1.1,10,7,3,0.453,0.175,0.444,0.031,0.243,0.672
B.1.177,3,2,1,0.221,0.0,0.221,0.0,0.221,0.221
BA.1.17,9,7,2,0.558,0.114,0.558,0.013,0.444,0.672
B.1,2,0,0,,,,,,
B.1.1,2,0,0,,,,,,
BA.1.1,10,7,3,0.453,0.175,0.444,0.031,0.243,0.672
AY.122,5,4,1,0.444,0.0,0.444,0.0,0.444,0.444
Non_variant,435,400,35,0.684,0.101,0.68,0.01,0.503,0.843
