Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21111767-TRIS,47,0.676,0.107,0.672,0.011,0.503,0.843,4.997664883343105e-28
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,2,0.558,0.161,,,,,
BA.2.36,2,0.558,0.161,,,,,
AY.124,2,0.358,0.122,,,,,
BA.1.1.1,3,0.453,0.215,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,2,0.558,0.161,,,,,
AY.43,,,,,,,,
BA.4,2,0.558,0.161,,,,,
AY.122,,,,,,,,
B.1.1.7,9,0.436,0.163,,,,,
BA.1.1,3,0.453,0.215,,,,,
BA.5.1,2,0.558,0.161,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,,,,,,,,
BA.2,2,0.558,0.161,,,,,
BA.1.17,2,0.558,0.161,,,,,
No_variant,35,0.684,0.101,,,,,
