Lineage,Total_HTZ,mean,std,p_value
21312626,47,0.666,0.112,6.4625986171008785e-25
BA.3,4,0.425,0.176,
AY.43,13,0.271,0.082,
B.1.1.7,3,0.509,0.065,
BA.4,3,0.307,0.208,
AY.127,13,0.271,0.082,
BA.2,5,0.381,0.182,
BA.5.1,5,0.381,0.182,
C.39,3,0.509,0.065,
BA.1,4,0.425,0.176,
B.1.617.2,0,nan,nan,
AY.124,13,0.271,0.082,
BA.2.36,5,0.381,0.182,
BA.1.1.1,5,0.388,0.174,
B.1.177,0,nan,nan,
BA.1.17,4,0.425,0.176,
B.1,0,nan,nan,
B.1.1,3,0.509,0.065,
BA.1.1,5,0.388,0.174,
AY.122,13,0.271,0.082,
No_variant,31,0.644,0.115,
