Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21314860,35,0.727,0.085,0.723,0.007,0.562,0.886,9.593611521980942e-33
B.1.617.2,0,nan,nan,,,,,
AY.127,8,0.239,0.05,,,,,
BA.1,,,,,,,,
BA.2.36,,,,,,,,
AY.124,8,0.239,0.05,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,8,0.239,0.05,,,,,
BA.4,,,,,,,,
AY.122,8,0.239,0.05,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,,,,,,,,
No_variant,27,0.717,0.091,,,,,
