Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
40428416,216,150,66,0.556,0.058,0.546,0.003,0.5,0.841
BA.3,9,3,6,0.496,0.13,0.536,0.017,0.321,0.679
AY.43,16,2,14,0.526,0.065,0.543,0.004,0.421,0.679
B.1.1.7,19,2,17,0.47,0.09,0.453,0.008,0.32,0.679
BA.4,9,3,6,0.507,0.082,0.532,0.007,0.331,0.574
AY.127,16,2,14,0.526,0.065,0.543,0.004,0.421,0.679
BA.2,10,3,7,0.504,0.122,0.548,0.015,0.321,0.679
BA.5.1,11,3,8,0.505,0.114,0.532,0.013,0.321,0.679
C.39,5,2,3,0.444,0.166,0.331,0.028,0.321,0.679
BA.1,10,4,6,0.496,0.13,0.536,0.017,0.321,0.679
B.1.617.2,2,0,0,,,,,,
AY.124,17,2,15,0.526,0.063,0.54,0.004,0.421,0.679
BA.2.36,10,3,7,0.504,0.122,0.548,0.015,0.321,0.679
BA.1.1.1,10,4,6,0.496,0.13,0.536,0.017,0.321,0.679
B.1.177,2,0,0,,,,,,
BA.1.17,10,4,6,0.496,0.13,0.536,0.017,0.321,0.679
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.444,0.166,0.331,0.028,0.321,0.679
BA.1.1,10,4,6,0.496,0.13,0.536,0.017,0.321,0.679
AY.122,16,2,14,0.526,0.065,0.543,0.004,0.421,0.679
Non_variant,182,146,36,0.551,0.064,0.53,0.004,0.5,0.841
