Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22083385-BIS,60,0.833,0.119,0.881,0.014,0.526,0.948,1.3044046410055643e-57
B.1.617.2,0,nan,nan,,,,,
AY.127,5,0.126,0.084,,,,,
BA.1,4,0.832,0.066,,,,,
BA.2.36,5,0.287,0.209,,,,,
AY.124,5,0.126,0.084,,,,,
BA.1.1.1,4,0.832,0.066,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,3,0.636,0.281,,,,,
AY.43,5,0.126,0.084,,,,,
BA.4,5,0.287,0.209,,,,,
AY.122,5,0.126,0.084,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,4,0.832,0.066,,,,,
BA.5.1,5,0.287,0.209,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,5,0.287,0.209,,,,,
BA.1.17,5,0.802,0.089,,,,,
No_variant,46,0.839,0.122,,,,,
