Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22129308,219,131,88,0.673,0.1,0.668,0.01,0.5,0.849
B.1.617.22,0,0,,,,,,
AY.127,25,6,19,0.389,0.16,0.33,0.026,0.213,0.829
BA.1,43,8,35,0.538,0.168,0.563,0.028,0.169,0.844
BA.2.36,44,12,32,0.526,0.183,0.573,0.033,0.162,0.844
AY.124,25,6,19,0.389,0.16,0.33,0.026,0.213,0.829
BA.1.1.1,44,8,36,0.533,0.169,0.56,0.029,0.169,0.844
B.12,0,0,,,,,,
C.39,5,2,3,0.538,0.105,0.612,0.011,0.389,0.613
BA.3,40,11,29,0.544,0.186,0.598,0.035,0.162,0.844
AY.43,26,7,19,0.388,0.16,0.329,0.026,0.213,0.829
BA.4,41,12,29,0.525,0.189,0.571,0.036,0.162,0.844
AY.122,25,6,19,0.382,0.165,0.329,0.027,0.199,0.829
B.1.1.7,7,2,5,0.617,0.14,0.613,0.019,0.389,0.829
BA.1.1,44,8,36,0.533,0.169,0.56,0.029,0.169,0.844
BA.5.1,40,12,28,0.542,0.185,0.587,0.034,0.162,0.844
B.1.1,5,2,3,0.538,0.105,0.612,0.011,0.389,0.613
B.1.1772,0,0,,,,,,
BA.2,44,12,32,0.526,0.183,0.573,0.033,0.162,0.844
BA.1.17,43,8,35,0.538,0.168,0.563,0.028,0.169,0.844
Non_variant,142,115,27,0.712,0.097,0.735,0.009,0.501,0.849
