Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22129308,88,0.673,0.1,0.668,0.01,0.5,0.849,1.3912298238513068e-54
BA.3,29,0.544,0.189,,,,,
AY.43,19,0.388,0.165,,,,,
B.1.1.7,5,0.617,0.156,,,,,
BA.4,29,0.525,0.192,,,,,
AY.127,19,0.389,0.164,,,,,
BA.2,32,0.526,0.186,,,,,
BA.5.1,28,0.542,0.189,,,,,
C.39,3,0.538,0.129,,,,,
BA.1,35,0.538,0.17,,,,,
B.1.617.2,0,nan,nan,,,,,
AY.124,19,0.389,0.164,,,,,
BA.2.36,32,0.526,0.186,,,,,
BA.1.1.1,36,0.533,0.171,,,,,
B.1.177,0,nan,nan,,,,,
BA.1.17,35,0.538,0.17,,,,,
B.1,0,nan,nan,,,,,
B.1.1,3,0.538,0.129,,,,,
BA.1.1,36,0.533,0.171,,,,,
AY.122,19,0.382,0.17,,,,,
No_variant,27,0.712,0.097,,,,,
