Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22187391,3,0.796,0.045,0.824,0.002,0.733,0.831,0.00018683078836818464
BA.3,0,nan,nan,,,,,
AY.43,0,nan,nan,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.4,0,nan,nan,,,,,
AY.127,0,nan,nan,,,,,
BA.2,0,nan,nan,,,,,
BA.5.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.1,0,nan,nan,,,,,
B.1.617.2,0,nan,nan,,,,,
AY.124,0,nan,nan,,,,,
BA.2.36,0,nan,nan,,,,,
BA.1.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.1.17,0,nan,nan,,,,,
B.1,0,nan,nan,,,,,
B.1.1,0,nan,nan,,,,,
BA.1.1,0,nan,nan,,,,,
AY.122,0,nan,nan,,,,,
No_variant,3,0.796,0.045,,,,,
