,241,445,2091,3037,6286,7743,8109,10207,10543,12439,13515,14408,21255,22227,23403,25413,26801,27944,28932,29402,29645
Reference,C,T,C,C,C,G,C,C,C,C,C,C,G,C,A,C,C,C,C,G,G
21052176_1,T,C,T,T,T,T,T (0.472),T,T,T,T,T,C,T,G,T,G,T,T,T,T
21052176_1+2,T,C,T,T,T,T,C/T,T,T,T,T,T,C,T,G,T,G,T,T,T,T
21052176_2,T,C,T,T,T,T,C (0.528),T,T,T,T,T,C,T,G,T,G,T,T,T,T
Total_DP,1203,1363,1728,1241,533,1485,1448,1585,1815,1450,915,1266,835,523,1811,1400,1477,1448,879,885,753
BA.3,,,,,,,,,,,,BA.3,,,BA.3,,,,,,
AY.43,,,,,,,,,,,,AY.43,,,AY.43,,,,,AY.43,
B.1.1.7,,,,,,,,,,,,B.1.1.7,,,B.1.1.7,,,,,,
BA.4,,,,,,,,,,,,BA.4,,,BA.4,,,,,,
AY.127,,,,,,,,,,,,AY.127,,,AY.127,,,,,AY.127,
BA.2,,,,,,,,,,,,BA.2,,,BA.2,,,,,,
BA.5.1,,,,,,,,,,,,BA.5.1,,,BA.5.1,,,,,,
C.39,,,,,,,,,,,,C.39,,,C.39,,,,,,
BA.1,,,,,,,,,,,,BA.1,,,BA.1,,,,,,
B.1.617.2,,,,,,,,,,,,B.1.617.2,,,B.1.617.2,,,,,B.1.617.2,
AY.124,,,,,,,,,,,,AY.124,,,AY.124,,,,,AY.124,
BA.2.36,,,,,,,,,,,,BA.2.36,,,BA.2.36,,,,,,
BA.1.1.1,,,,,,,,,,,,BA.1.1.1,,,BA.1.1.1,,,,,,
B.1.177,,,,,,,,,,,,B.1.177,,,B.1.177,,,,B.1.177,,B.1.177
BA.1.17,,,,,,,,,,,,BA.1.17,,,BA.1.17,,,,,,
B.1,,,,,,,,,,,,B.1,,,B.1,,,,,,
B.1.1,,,,,,,,,,,,B.1.1,,,B.1.1,,,,,,
BA.1.1,,,,,,,,,,,,BA.1.1,,,BA.1.1,,,,,,
AY.122,,,,,,,,,,,,AY.122,,,AY.122,,,,,AY.122,
